player_name,player_name_norm,player_id,transfer_date,from_club_id,to_club_id,from_league,to_league,GA90_pre,GA90_post,PerfChange_1y,DeclineFlag_1y,PreMinutes,PostMinutes,InsufficientPreData,InsufficientPostData,UsedPostWindowDays,fbref_name,Position,OUT_GA90_pre,OUT_GA90_post,OUT_PerfChange_1y,OUT_DeclineFlag_1y,OUT_PreMinutes,OUT_PostMinutes,OUT_InsufficientPreData,OUT_InsufficientPostData,OUT_UsedPostWindowDays
Lucas Rosa,lucas rosa,468309,2025-02-04,366,610,ES1,NL1,0.044488383588729606,0.22900763358778628,0.18451924999905667,,2023.0,393.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Bojan Radulović,bojan radulovi,516407,2025-02-04,1110,385,GB1,NL1,0.0,0.38461538461538464,0.38461538461538464,,83.0,234.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Oussama Targhalline,oussama targhalline,667965,2025-02-04,738,234,FR1,NL1,0.0,0.0,0.0,,1649.0,183.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Jeffrey Schlupp,jeffrey schlupp,157506,2025-02-03,873,371,GB1,SC1,0.6143344709897611,0.22304832713754646,-0.39128614385221466,,293.0,807.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Andrea Belotti,andrea belotti,167727,2025-02-03,1047,294,IT1,PO1,0.3182086034177961,0.6683168316831682,0.35010822826537213,,1697.0,404.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Visar Musliu,visar musliu,207623,2025-02-03,127,475,L1,BE1,,0.0,,,0.0,188.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Daley Sinkgraven,daley sinkgraven,215099,2025-02-03,472,385,ES1,NL1,0.0,0.0,0.0,,268.0,77.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Dani Silva,dani silva,372445,2025-02-03,276,865,IT1,DK1,0.0,0.16759776536312848,0.16759776536312848,0.0,924.0,537.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Nicolò Zaniolo,nicol zaniolo,392085,2025-02-03,800,141,IT1,TR1,0.7266435986159169,0.0,-0.40668288180712353,,867.0,257.0,0,0,365.0,,,0,0,1,0,0,0,0,1,1
Tom Holmes,tom holmes,424900,2025-02-03,1031,9010,GB1,BE1,0.0,0.0,0.0,,135.0,94.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Diant Ramaj,diant ramaj,448705,2025-02-03,16,190,L1,DK1,0.0,0.0,0.0,1.0,810.0,450.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Gavin Bazunu,gavin bazunu,585550,2025-02-03,180,3057,GB1,BE1,,0.0,,,0.0,540.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Mohamed Bayo,mohamed bayo,594991,2025-02-03,1082,1096,FR1,BE1,0.4677754677754678,0.3629032258064516,-0.10487224196901618,,962.0,248.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Samuel Dahl,samuel dahl,605396,2025-02-03,12,294,IT1,PO1,0.0,0.16216216216216217,0.16216216216216217,,150.0,555.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Noah Mbamba,noah mbamba,743395,2025-02-03,15,9010,L1,BE1,0.0,0.0,0.0,,18.0,197.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Elyess Dao,elyess dao,1047103,2025-02-03,1416,58,FR1,BE1,,0.0,,,0.0,4.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
